infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,passe simple 1p-s,passe simple 2p-s,passe simple 3p-s,passe simple 1p-p,passe simple 2p-p,passe simple 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,imperative 2p-s,imperative 1p-p,imperative 2p-p,passe compose 1p-s,passe compose 2p-s,passe compose 3p-s,passe compose 1p-p,passe compose 2p-p,passe compose 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,past imperative 2p-s,past imperative 1p-p,past imperative 2p-p,gerund
séduire,to seduce,False,séduis,séduis,séduit,séduisons,séduisez,séduisent,séduisais,séduisais,séduisait,séduisions,séduisiez,séduisaient,séduisis,séduisis,séduisit,séduisîmes,séduisîtes,séduisirent,séduirai,séduiras,séduira,séduirons,séduirez,séduiront,séduirais,séduirais,séduirait,séduirions,séduiriez,séduiraient,séduise,séduises,séduise,séduisions,séduisiez,séduisent,séduisisse,séduisisses,séduisît,séduisissions,séduisissiez,séduisissent,séduis,séduisons,séduisez,ai séduit,as séduit,a séduit,avons séduit,avez séduit,ont séduit,avais séduit,avais séduit,avait séduit,avions séduit,aviez séduit,avaient séduit,aurai séduit,auras séduit,aura séduit,aurons séduit,aurez séduit,auront séduit,aurais séduit,aurais séduit,aurait séduit,aurions séduit,auriez séduit,auraient séduit,aie séduit,aies séduit,ait séduit,ayons séduit,ayez séduit,aient séduit,eusse séduit,eusses séduit,eût séduit,eussions séduit,eussiez séduit,eussent séduit,eus séduit,eus séduit,eut séduit,eûmes séduit,eûtes séduit,eurent séduit,aie séduit,ayons séduit,ayez séduit,séduisant
secouer,to shake,False,secoue,secoues,secoue,secouons,secouez,secouent,secouais,secouais,secouait,secouions,secouiez,secouaient,secouai,secouas,secoua,secouâmes,secouâtes,secouèrent,secouerai,secoueras,secouera,secouerons,secouerez,secoueront,secouerais,secouerais,secouerait,secouerions,secoueriez,secoueraient,secoue,secoues,secoue,secouions,secouiez,secouent,secouasse,secouasses,secouât,secouassions,secouassiez,secouassent,secoue,secouons,secouez,ai secoué,as secoué,a secoué,avons secoué,avez secoué,ont secoué,avais secoué,avais secoué,avait secoué,avions secoué,aviez secoué,avaient secoué,aurai secoué,auras secoué,aura secoué,aurons secoué,aurez secoué,auront secoué,aurais secoué,aurais secoué,aurait secoué,aurions secoué,auriez secoué,auraient secoué,aie secoué,aies secoué,ait secoué,ayons secoué,ayez secoué,aient secoué,eusse secoué,eusses secoué,eût secoué,eussions secoué,eussiez secoué,eussent secoué,eus secoué,eus secoué,eut secoué,eûmes secoué,eûtes secoué,eurent secoué,aie secoué,ayons secoué,ayez secoué,secouant
siffler,to whistle,False,siffle,siffles,siffle,sifflons,sifflez,sifflent,sifflais,sifflais,sifflait,sifflions,siffliez,sifflaient,sifflai,sifflas,siffla,sifflâmes,sifflâtes,sifflèrent,sifflerai,siffleras,sifflera,sifflerons,sifflerez,siffleront,sifflerais,sifflerais,sifflerait,sifflerions,siffleriez,siffleraient,siffle,siffles,siffle,sifflions,siffliez,sifflent,sifflasse,sifflasses,sifflât,sifflassions,sifflassiez,sifflassent,siffle,sifflons,sifflez,ai sifflé,as sifflé,a sifflé,avons sifflé,avez sifflé,ont sifflé,avais sifflé,avais sifflé,avait sifflé,avions sifflé,aviez sifflé,avaient sifflé,aurai sifflé,auras sifflé,aura sifflé,aurons sifflé,aurez sifflé,auront sifflé,aurais sifflé,aurais sifflé,aurait sifflé,aurions sifflé,auriez sifflé,auraient sifflé,aie sifflé,aies sifflé,ait sifflé,ayons sifflé,ayez sifflé,aient sifflé,eusse sifflé,eusses sifflé,eût sifflé,eussions sifflé,eussiez sifflé,eussent sifflé,eus sifflé,eus sifflé,eut sifflé,eûmes sifflé,eûtes sifflé,eurent sifflé,aie sifflé,ayons sifflé,ayez sifflé,sifflant
séjourner,to sojourn,False,séjourne,séjournes,séjourne,séjournons,séjournez,séjournent,séjournais,séjournais,séjournait,séjournions,séjourniez,séjournaient,séjournai,séjournas,séjourna,séjournâmes,séjournâtes,séjournèrent,séjournerai,séjourneras,séjournera,séjournerons,séjournerez,séjourneront,séjournerais,séjournerais,séjournerait,séjournerions,séjourneriez,séjourneraient,séjourne,séjournes,séjourne,séjournions,séjourniez,séjournent,séjournasse,séjournasses,séjournât,séjournassions,séjournassiez,séjournassent,séjourne,séjournons,séjournez,ai séjourné,as séjourné,a séjourné,avons séjourné,avez séjourné,ont séjourné,avais séjourné,avais séjourné,avait séjourné,avions séjourné,aviez séjourné,avaient séjourné,aurai séjourné,auras séjourné,aura séjourné,aurons séjourné,aurez séjourné,auront séjourné,aurais séjourné,aurais séjourné,aurait séjourné,aurions séjourné,auriez séjourné,auraient séjourné,aie séjourné,aies séjourné,ait séjourné,ayons séjourné,ayez séjourné,aient séjourné,eusse séjourné,eusses séjourné,eût séjourné,eussions séjourné,eussiez séjourné,eussent séjourné,eus séjourné,eus séjourné,eut séjourné,eûmes séjourné,eûtes séjourné,eurent séjourné,aie séjourné,ayons séjourné,ayez séjourné,séjournant
sembler,to seem,False,semble,sembles,semble,semblons,semblez,semblent,semblais,semblais,semblait,semblions,sembliez,semblaient,semblai,semblas,sembla,semblâmes,semblâtes,semblèrent,semblerai,sembleras,semblera,semblerons,semblerez,sembleront,semblerais,semblerais,semblerait,semblerions,sembleriez,sembleraient,semble,sembles,semble,semblions,sembliez,semblent,semblasse,semblasses,semblât,semblassions,semblassiez,semblassent,semble,semblons,semblez,ai semblé,as semblé,a semblé,avons semblé,avez semblé,ont semblé,avais semblé,avais semblé,avait semblé,avions semblé,aviez semblé,avaient semblé,aurai semblé,auras semblé,aura semblé,aurons semblé,aurez semblé,auront semblé,aurais semblé,aurais semblé,aurait semblé,aurions semblé,auriez semblé,auraient semblé,aie semblé,aies semblé,ait semblé,ayons semblé,ayez semblé,aient semblé,eusse semblé,eusses semblé,eût semblé,eussions semblé,eussiez semblé,eussent semblé,eus semblé,eus semblé,eut semblé,eûmes semblé,eûtes semblé,eurent semblé,aie semblé,ayons semblé,ayez semblé,semblant
serrer,"to grasp, squeeze",False,serre,serres,serre,serrons,serrez,serrent,serrais,serrais,serrait,serrions,serriez,serraient,serrai,serras,serra,serrâmes,serrâtes,serrèrent,serrerai,serreras,serrera,serrerons,serrerez,serreront,serrerais,serrerais,serrerait,serrerions,serreriez,serreraient,serre,serres,serre,serrions,serriez,serrent,serrasse,serrasses,serrât,serrassions,serrassiez,serrassent,serre,serrons,serrez,ai serré,as serré,a serré,avons serré,avez serré,ont serré,avais serré,avais serré,avait serré,avions serré,aviez serré,avaient serré,aurai serré,auras serré,aura serré,aurons serré,aurez serré,auront serré,aurais serré,aurais serré,aurait serré,aurions serré,auriez serré,auraient serré,aie serré,aies serré,ait serré,ayons serré,ayez serré,aient serré,eusse serré,eusses serré,eût serré,eussions serré,eussiez serré,eussent serré,eus serré,eus serré,eut serré,eûmes serré,eûtes serré,eurent serré,aie serré,ayons serré,ayez serré,serrant
salir,to soil,False,salis,salis,salit,salissons,salissez,salissent,salissais,salissais,salissait,salissions,salissiez,salissaient,salis,salis,salit,salîmes,salîtes,salirent,salirai,saliras,salira,salirons,salirez,saliront,salirais,salirais,salirait,salirions,saliriez,saliraient,salisse,salisses,salisse,salissions,salissiez,salissent,salisse,salisses,salît,salissions,salissiez,salissent,salis,salissons,salissez,ai sali,as sali,a sali,avons sali,avez sali,ont sali,avais sali,avais sali,avait sali,avions sali,aviez sali,avaient sali,aurai sali,auras sali,aura sali,aurons sali,aurez sali,auront sali,aurais sali,aurais sali,aurait sali,aurions sali,auriez sali,auraient sali,aie sali,aies sali,ait sali,ayons sali,ayez sali,aient sali,eusse sali,eusses sali,eût sali,eussions sali,eussiez sali,eussent sali,eus sali,eus sali,eut sali,eûmes sali,eûtes sali,eurent sali,aie sali,ayons sali,ayez sali,salissant
savoir,to know,True,sais,sais,sait,savons,savez,savent,savais,savais,savait,savions,saviez,savaient,sus,sus,sut,sûmes,sûtes,surent,saurai,sauras,saura,saurons,saurez,sauront,saurais,saurais,saurait,saurions,sauriez,sauraient,sache,saches,sache,sachions,sachiez,sachent,susse,susses,sût,sussions,sussiez,sussent,sache,sachons,sachez,ai su,as su,a su,avons su,avez su,ont su,avais su,avais su,avait su,avions su,aviez su,avaient su,aurai su,auras su,aura su,aurons su,aurez su,auront su,aurais su,aurais su,aurait su,aurions su,auriez su,auraient su,aie su,aies su,ait su,ayons su,ayez su,aient su,eusse su,eusses su,eût su,eussions su,eussiez su,eussent su,eus su,eus su,eut su,eûmes su,eûtes su,eurent su,aie su,ayons su,ayez su,sachant
signaler,to signal,False,signale,signales,signale,signalons,signalez,signalent,signalais,signalais,signalait,signalions,signaliez,signalaient,signalai,signalas,signala,signalâmes,signalâtes,signalèrent,signalerai,signaleras,signalera,signalerons,signalerez,signaleront,signalerais,signalerais,signalerait,signalerions,signaleriez,signaleraient,signale,signales,signale,signalions,signaliez,signalent,signalasse,signalasses,signalât,signalassions,signalassiez,signalassent,signale,signalons,signalez,ai signalé,as signalé,a signalé,avons signalé,avez signalé,ont signalé,avais signalé,avais signalé,avait signalé,avions signalé,aviez signalé,avaient signalé,aurai signalé,auras signalé,aura signalé,aurons signalé,aurez signalé,auront signalé,aurais signalé,aurais signalé,aurait signalé,aurions signalé,auriez signalé,auraient signalé,aie signalé,aies signalé,ait signalé,ayons signalé,ayez signalé,aient signalé,eusse signalé,eusses signalé,eût signalé,eussions signalé,eussiez signalé,eussent signalé,eus signalé,eus signalé,eut signalé,eûmes signalé,eûtes signalé,eurent signalé,aie signalé,ayons signalé,ayez signalé,signalant
sauver,"to save, rescue",False,sauve,sauves,sauve,sauvons,sauvez,sauvent,sauvais,sauvais,sauvait,sauvions,sauviez,sauvaient,sauvai,sauvas,sauva,sauvâmes,sauvâtes,sauvèrent,sauverai,sauveras,sauvera,sauverons,sauverez,sauveront,sauverais,sauverais,sauverait,sauverions,sauveriez,sauveraient,sauve,sauves,sauve,sauvions,sauviez,sauvent,sauvasse,sauvasses,sauvât,sauvassions,sauvassiez,sauvassent,sauve,sauvons,sauvez,ai sauvé,as sauvé,a sauvé,avons sauvé,avez sauvé,ont sauvé,avais sauvé,avais sauvé,avait sauvé,avions sauvé,aviez sauvé,avaient sauvé,aurai sauvé,auras sauvé,aura sauvé,aurons sauvé,aurez sauvé,auront sauvé,aurais sauvé,aurais sauvé,aurait sauvé,aurions sauvé,auriez sauvé,auraient sauvé,aie sauvé,aies sauvé,ait sauvé,ayons sauvé,ayez sauvé,aient sauvé,eusse sauvé,eusses sauvé,eût sauvé,eussions sauvé,eussiez sauvé,eussent sauvé,eus sauvé,eus sauvé,eut sauvé,eûmes sauvé,eûtes sauvé,eurent sauvé,aie sauvé,ayons sauvé,ayez sauvé,sauvant
saillir,to protrude,True,,,saille,,,saillent,,,saillait,,,saillaient,,,saillit,,,saillirent,,,saillera,,,sailleront,,,saillirait,,,sailliraient,,,saille,,,saillent,,,saillît,,,saillissent,,,,ai sailli,as sailli,a sailli,avons sailli,avez sailli,ont sailli,avais sailli,avais sailli,avait sailli,avions sailli,aviez sailli,avaient sailli,aurai sailli,auras sailli,aura sailli,aurons sailli,aurez sailli,auront sailli,aurais sailli,aurais sailli,aurait sailli,aurions sailli,auriez sailli,auraient sailli,aie sailli,aies sailli,ait sailli,ayons sailli,ayez sailli,aient sailli,eusse sailli,eusses sailli,eût sailli,eussions sailli,eussiez sailli,eussent sailli,eus sailli,eus sailli,eut sailli,eûmes sailli,eûtes sailli,eurent sailli,aie sailli,ayons sailli,ayez sailli,saillant
séparer,to separate,False,sépare,sépares,sépare,séparons,séparez,séparent,séparais,séparais,séparait,séparions,sépariez,séparaient,séparai,séparas,sépara,séparâmes,séparâtes,séparèrent,séparerai,sépareras,séparera,séparerons,séparerez,sépareront,séparerais,séparerais,séparerait,séparerions,sépareriez,sépareraient,sépare,sépares,sépare,séparions,sépariez,séparent,séparasse,séparasses,séparât,séparassions,séparassiez,séparassent,sépare,séparons,séparez,ai séparé,as séparé,a séparé,avons séparé,avez séparé,ont séparé,avais séparé,avais séparé,avait séparé,avions séparé,aviez séparé,avaient séparé,aurai séparé,auras séparé,aura séparé,aurons séparé,aurez séparé,auront séparé,aurais séparé,aurais séparé,aurait séparé,aurions séparé,auriez séparé,auraient séparé,aie séparé,aies séparé,ait séparé,ayons séparé,ayez séparé,aient séparé,eusse séparé,eusses séparé,eût séparé,eussions séparé,eussiez séparé,eussent séparé,eus séparé,eus séparé,eut séparé,eûmes séparé,eûtes séparé,eurent séparé,aie séparé,ayons séparé,ayez séparé,séparant
satisfaire,to satisfy,True,satisfais,satisfais,satisfait,satisfaisons,satisfaites,satisfont,satisfaisais,satisfaisais,satisfaisait,satisfaisions,satisfaisiez,satisfaisaient,satisfis,satisfis,satisfit,satisfîmes,satisfîtes,satisfirent,satisferai,satisferas,satisfera,satisferons,satisferez,satisferont,satisferais,satisferais,satisferait,satisferions,satisferiez,satisferaient,satisfasse,satisfasses,satisfasse,satisfassions,satisfassiez,satisfassent,satisfisse,satisfisses,satisfît,satisfissions,satisfissiez,satisfissent,satisfais,satisfaisons,satisfaites,ai satisfait,as satisfait,a satisfait,avons satisfait,avez satisfait,ont satisfait,avais satisfait,avais satisfait,avait satisfait,avions satisfait,aviez satisfait,avaient satisfait,aurai satisfait,auras satisfait,aura satisfait,aurons satisfait,aurez satisfait,auront satisfait,aurais satisfait,aurais satisfait,aurait satisfait,aurions satisfait,auriez satisfait,auraient satisfait,aie satisfait,aies satisfait,ait satisfait,ayons satisfait,ayez satisfait,aient satisfait,eusse satisfait,eusses satisfait,eût satisfait,eussions satisfait,eussiez satisfait,eussent satisfait,eus satisfait,eus satisfait,eut satisfait,eûmes satisfait,eûtes satisfait,eurent satisfait,aie satisfait,ayons satisfait,ayez satisfait,satisfaisant
signifier,to mean,False,signifie,signifies,signifie,signifions,signifiez,signifient,signifiais,signifiais,signifiait,signifiions,signifiiez,signifiaient,signifiai,signifias,signifia,signifiâmes,signifiâtes,signifièrent,signifierai,signifieras,signifiera,signifierons,signifierez,signifieront,signifierais,signifierais,signifierait,signifierions,signifieriez,signifieraient,signifie,signifies,signifie,signifiions,signifiiez,signifient,signifiasse,signifiasses,signifiât,signifiassions,signifiassiez,signifiassent,signifie,signifions,signifiez,ai signifié,as signifié,a signifié,avons signifié,avez signifié,ont signifié,avais signifié,avais signifié,avait signifié,avions signifié,aviez signifié,avaient signifié,aurai signifié,auras signifié,aura signifié,aurons signifié,aurez signifié,auront signifié,aurais signifié,aurais signifié,aurait signifié,aurions signifié,auriez signifié,auraient signifié,aie signifié,aies signifié,ait signifié,ayons signifié,ayez signifié,aient signifié,eusse signifié,eusses signifié,eût signifié,eussions signifié,eussiez signifié,eussent signifié,eus signifié,eus signifié,eut signifié,eûmes signifié,eûtes signifié,eurent signifié,aie signifié,ayons signifié,ayez signifié,signifiant
secourir,to help,False,secours,secours,secourt,secourons,secourez,secourent,secourais,secourais,secourait,secourions,secouriez,secouraient,secourus,secourus,secourut,secourûmes,secourûtes,secoururent,secourrai,secourras,secourra,secourrons,secourrez,secourront,secourrais,secourrais,secourrait,secourrions,secourriez,secourraient,secoure,secoures,secoure,secourions,secouriez,secourent,secourusse,secourusses,secourût,secourussions,secourussiez,secourussent,secours,secourons,secourez,ai secouru,as secouru,a secouru,avons secouru,avez secouru,ont secouru,avais secouru,avais secouru,avait secouru,avions secouru,aviez secouru,avaient secouru,aurai secouru,auras secouru,aura secouru,aurons secouru,aurez secouru,auront secouru,aurais secouru,aurais secouru,aurait secouru,aurions secouru,auriez secouru,auraient secouru,aie secouru,aies secouru,ait secouru,ayons secouru,ayez secouru,aient secouru,eusse secouru,eusses secouru,eût secouru,eussions secouru,eussiez secouru,eussent secouru,eus secouru,eus secouru,eut secouru,eûmes secouru,eûtes secouru,eurent secouru,aie secouru,ayons secouru,ayez secouru,secourant
servir,to serve,False,sers,sers,sert,servons,servez,servent,servais,servais,servait,servions,serviez,servaient,servis,servis,servit,servîmes,servîtes,servirent,servirai,serviras,servira,servirons,servirez,serviront,servirais,servirais,servirait,servirions,serviriez,serviraient,serve,serves,serve,servions,serviez,servent,servisse,servisses,servît,servissions,servissiez,servissent,sers,servons,servez,ai servi,as servi,a servi,avons servi,avez servi,ont servi,avais servi,avais servi,avait servi,avions servi,aviez servi,avaient servi,aurai servi,auras servi,aura servi,aurons servi,aurez servi,auront servi,aurais servi,aurais servi,aurait servi,aurions servi,auriez servi,auraient servi,aie servi,aies servi,ait servi,ayons servi,ayez servi,aient servi,eusse servi,eusses servi,eût servi,eussions servi,eussiez servi,eussent servi,eus servi,eus servi,eut servi,eûmes servi,eûtes servi,eurent servi,aie servi,ayons servi,ayez servi,servant
signer,to sign,False,signe,signes,signe,signons,signez,signent,signais,signais,signait,signions,signiez,signaient,signai,signas,signa,signâmes,signâtes,signèrent,signerai,signeras,signera,signerons,signerez,signeront,signerais,signerais,signerait,signerions,signeriez,signeraient,signe,signes,signe,signions,signiez,signent,signasse,signasses,signât,signassions,signassiez,signassent,signe,signons,signez,ai signé,as signé,a signé,avons signé,avez signé,ont signé,avais signé,avais signé,avait signé,avions signé,aviez signé,avaient signé,aurai signé,auras signé,aura signé,aurons signé,aurez signé,auront signé,aurais signé,aurais signé,aurait signé,aurions signé,auriez signé,auraient signé,aie signé,aies signé,ait signé,ayons signé,ayez signé,aient signé,eusse signé,eusses signé,eût signé,eussions signé,eussiez signé,eussent signé,eus signé,eus signé,eut signé,eûmes signé,eûtes signé,eurent signé,aie signé,ayons signé,ayez signé,signant
sauter,to jump,False,saute,sautes,saute,sautons,sautez,sautent,sautais,sautais,sautait,sautions,sautiez,sautaient,sautai,sautas,sauta,sautâmes,sautâtes,sautèrent,sauterai,sauteras,sautera,sauterons,sauterez,sauteront,sauterais,sauterais,sauterait,sauterions,sauteriez,sauteraient,saute,sautes,saute,sautions,sautiez,sautent,sautasse,sautasses,sautât,sautassions,sautassiez,sautassent,saute,sautons,sautez,ai sauté,as sauté,a sauté,avons sauté,avez sauté,ont sauté,avais sauté,avais sauté,avait sauté,avions sauté,aviez sauté,avaient sauté,aurai sauté,auras sauté,aura sauté,aurons sauté,aurez sauté,auront sauté,aurais sauté,aurais sauté,aurait sauté,aurions sauté,auriez sauté,auraient sauté,aie sauté,aies sauté,ait sauté,ayons sauté,ayez sauté,aient sauté,eusse sauté,eusses sauté,eût sauté,eussions sauté,eussiez sauté,eussent sauté,eus sauté,eus sauté,eut sauté,eûmes sauté,eûtes sauté,eurent sauté,aie sauté,ayons sauté,ayez sauté,sautant
saisir,to seize,False,saisis,saisis,saisit,saisissons,saisissez,saisissent,saisissais,saisissais,saisissait,saisissions,saisissiez,saisissaient,saisis,saisis,saisit,saisîmes,saisîtes,saisirent,saisirai,saisiras,saisira,saisirons,saisirez,saisiront,saisirais,saisirais,saisirait,saisirions,saisiriez,saisiraient,saisisse,saisisses,saisisse,saisissions,saisissiez,saisissent,saisisse,saisisses,saisît,saisissions,saisissiez,saisissent,saisis,saisissons,saisissez,ai saisi,as saisi,a saisi,avons saisi,avez saisi,ont saisi,avais saisi,avais saisi,avait saisi,avions saisi,aviez saisi,avaient saisi,aurai saisi,auras saisi,aura saisi,aurons saisi,aurez saisi,auront saisi,aurais saisi,aurais saisi,aurait saisi,aurions saisi,auriez saisi,auraient saisi,aie saisi,aies saisi,ait saisi,ayons saisi,ayez saisi,aient saisi,eusse saisi,eusses saisi,eût saisi,eussions saisi,eussiez saisi,eussent saisi,eus saisi,eus saisi,eut saisi,eûmes saisi,eûtes saisi,eurent saisi,aie saisi,ayons saisi,ayez saisi,saisissant
sentir,"to feel, smell",False,sens,sens,sent,sentons,sentez,sentent,sentais,sentais,sentait,sentions,sentiez,sentaient,sentis,sentis,sentit,sentîmes,sentîtes,sentirent,sentirai,sentiras,sentira,sentirons,sentirez,sentiront,sentirais,sentirais,sentirait,sentirions,sentiriez,sentiraient,sente,sentes,sente,sentions,sentiez,sentent,sentisse,sentisses,sentît,sentissions,sentissiez,sentissent,sens,sentons,sentez,ai senti,as senti,a senti,avons senti,avez senti,ont senti,avais senti,avais senti,avait senti,avions senti,aviez senti,avaient senti,aurai senti,auras senti,aura senti,aurons senti,aurez senti,auront senti,aurais senti,aurais senti,aurait senti,aurions senti,auriez senti,auraient senti,aie senti,aies senti,ait senti,ayons senti,ayez senti,aient senti,eusse senti,eusses senti,eût senti,eussions senti,eussiez senti,eussent senti,eus senti,eus senti,eut senti,eûmes senti,eûtes senti,eurent senti,aie senti,ayons senti,ayez senti,sentant
sonner,to ring,False,sonne,sonnes,sonne,sonnons,sonnez,sonnent,sonnais,sonnais,sonnait,sonnions,sonniez,sonnaient,sonnai,sonnas,sonna,sonnâmes,sonnâtes,sonnèrent,sonnerai,sonneras,sonnera,sonnerons,sonnerez,sonneront,sonnerais,sonnerais,sonnerait,sonnerions,sonneriez,sonneraient,sonne,sonnes,sonne,sonnions,sonniez,sonnent,sonnasse,sonnasses,sonnât,sonnassions,sonnassiez,sonnassent,sonne,sonnons,sonnez,ai sonné,as sonné,a sonné,avons sonné,avez sonné,ont sonné,avais sonné,avais sonné,avait sonné,avions sonné,aviez sonné,avaient sonné,aurai sonné,auras sonné,aura sonné,aurons sonné,aurez sonné,auront sonné,aurais sonné,aurais sonné,aurait sonné,aurions sonné,auriez sonné,auraient sonné,aie sonné,aies sonné,ait sonné,ayons sonné,ayez sonné,aient sonné,eusse sonné,eusses sonné,eût sonné,eussions sonné,eussiez sonné,eussent sonné,eus sonné,eus sonné,eut sonné,eûmes sonné,eûtes sonné,eurent sonné,aie sonné,ayons sonné,ayez sonné,sonnant
sourire,to smile,False,souris,souris,sourit,sourions,souriez,sourient,souriais,souriais,souriait,souriions,souriiez,souriaient,souris,souris,sourit,sourîmes,sourîtes,sourirent,sourirai,souriras,sourira,sourirons,sourirez,souriront,sourirais,sourirais,sourirait,souririons,souririez,souriraient,sourie,souries,sourie,souriions,souriiez,sourient,sourisse,sourisses,sourît,sourissions,sourissiez,sourissent,souris,sourions,souriez,ai souri,as souri,a souri,avons souri,avez souri,ont souri,avais souri,avais souri,avait souri,avions souri,aviez souri,avaient souri,aurai souri,auras souri,aura souri,aurons souri,aurez souri,auront souri,aurais souri,aurais souri,aurait souri,aurions souri,auriez souri,auraient souri,aie souri,aies souri,ait souri,ayons souri,ayez souri,aient souri,eusse souri,eusses souri,eût souri,eussions souri,eussiez souri,eussent souri,eus souri,eus souri,eut souri,eûmes souri,eûtes souri,eurent souri,aie souri,ayons souri,ayez souri,souriant
souhaiter,to wish,False,souhaite,souhaites,souhaite,souhaitons,souhaitez,souhaitent,souhaitais,souhaitais,souhaitait,souhaitions,souhaitiez,souhaitaient,souhaitai,souhaitas,souhaita,souhaitâmes,souhaitâtes,souhaitèrent,souhaiterai,souhaiteras,souhaitera,souhaiterons,souhaiterez,souhaiteront,souhaiterais,souhaiterais,souhaiterait,souhaiterions,souhaiteriez,souhaiteraient,souhaite,souhaites,souhaite,souhaitions,souhaitiez,souhaitent,souhaitasse,souhaitasses,souhaitât,souhaitassions,souhaitassiez,souhaitassent,souhaite,souhaitons,souhaitez,ai souhaité,as souhaité,a souhaité,avons souhaité,avez souhaité,ont souhaité,avais souhaité,avais souhaité,avait souhaité,avions souhaité,aviez souhaité,avaient souhaité,aurai souhaité,auras souhaité,aura souhaité,aurons souhaité,aurez souhaité,auront souhaité,aurais souhaité,aurais souhaité,aurait souhaité,aurions souhaité,auriez souhaité,auraient souhaité,aie souhaité,aies souhaité,ait souhaité,ayons souhaité,ayez souhaité,aient souhaité,eusse souhaité,eusses souhaité,eût souhaité,eussions souhaité,eussiez souhaité,eussent souhaité,eus souhaité,eus souhaité,eut souhaité,eûmes souhaité,eûtes souhaité,eurent souhaité,aie souhaité,ayons souhaité,ayez souhaité,souhaitant
skier,to ski,False,skie,skies,skie,skions,skiez,skient,skiais,skiais,skiait,skiions,skiiez,skiaient,skiai,skias,skia,skiâmes,skiâtes,skièrent,skierai,skieras,skiera,skierons,skierez,skieront,skierais,skierais,skierait,skierions,skieriez,skieraient,skie,skies,skie,skiions,skiiez,skient,skiasse,skiasses,skiât,skiassions,skiassiez,skiassent,skie,skions,skiez,ai skié,as skié,a skié,avons skié,avez skié,ont skié,avais skié,avais skié,avait skié,avions skié,aviez skié,avaient skié,aurai skié,auras skié,aura skié,aurons skié,aurez skié,auront skié,aurais skié,aurais skié,aurait skié,aurions skié,auriez skié,auraient skié,aie skié,aies skié,ait skié,ayons skié,ayez skié,aient skié,eusse skié,eusses skié,eût skié,eussions skié,eussiez skié,eussent skié,eus skié,eus skié,eut skié,eûmes skié,eûtes skié,eurent skié,aie skié,ayons skié,ayez skié,skiant
supposer,to suppose,False,suppose,supposes,suppose,supposons,supposez,supposent,supposais,supposais,supposait,supposions,supposiez,supposaient,supposai,supposas,supposa,supposâmes,supposâtes,supposèrent,supposerai,supposeras,supposera,supposerons,supposerez,supposeront,supposerais,supposerais,supposerait,supposerions,supposeriez,supposeraient,suppose,supposes,suppose,supposions,supposiez,supposent,supposasse,supposasses,supposât,supposassions,supposassiez,supposassent,suppose,supposons,supposez,ai supposé,as supposé,a supposé,avons supposé,avez supposé,ont supposé,avais supposé,avais supposé,avait supposé,avions supposé,aviez supposé,avaient supposé,aurai supposé,auras supposé,aura supposé,aurons supposé,aurez supposé,auront supposé,aurais supposé,aurais supposé,aurait supposé,aurions supposé,auriez supposé,auraient supposé,aie supposé,aies supposé,ait supposé,ayons supposé,ayez supposé,aient supposé,eusse supposé,eusses supposé,eût supposé,eussions supposé,eussiez supposé,eussent supposé,eus supposé,eus supposé,eut supposé,eûmes supposé,eûtes supposé,eurent supposé,aie supposé,ayons supposé,ayez supposé,supposant
