infinitive,infinitive_english,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,future 1p-s,future 2p-s,future 3p-s,future 1p-p,future 2p-p,future 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,preterite 1p-s,preterite 2p-s,preterite 3p-s,preterite 1p-p,preterite 2p-p,preterite 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,present perfect 1p-s,present perfect 2p-s,present perfect 3p-s,present perfect 1p-p,present perfect 2p-p,present perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,preterite perfect 1p-s,preterite perfect 2p-s,preterite perfect 3p-s,preterite perfect 1p-p,preterite perfect 2p-p,preterite perfect 3p-p,conditional perfect 1p-s,conditional perfect 2p-s,conditional perfect 3p-s,conditional perfect 1p-p,conditional perfect 2p-p,conditional perfect 3p-p,subjunctive present 1p-s,subjunctive present 2p-s,subjunctive present 3p-s,subjunctive present 1p-p,subjunctive present 2p-p,subjunctive present 3p-p,subjunctive imperfect 1p-s,subjunctive imperfect 2p-s,subjunctive imperfect 3p-s,subjunctive imperfect 1p-p,subjunctive imperfect 2p-p,subjunctive imperfect 3p-p,subjunctive future 1p-s,subjunctive future 2p-s,subjunctive future 3p-s,subjunctive future 1p-p,subjunctive future 2p-p,subjunctive future 3p-p,subjunctive present perfect 1p-s,subjunctive present perfect 2p-s,subjunctive present perfect 3p-s,subjunctive present perfect 1p-p,subjunctive present perfect 2p-p,subjunctive present perfect 3p-p,subjunctive future perfect 1p-s,subjunctive future perfect 2p-s,subjunctive future perfect 3p-s,subjunctive future perfect 1p-p,subjunctive future perfect 2p-p,subjunctive future perfect 3p-p,subjunctive past perfect 1p-s,subjunctive past perfect 2p-s,subjunctive past perfect 3p-s,subjunctive past perfect 1p-p,subjunctive past perfect 2p-p,subjunctive past perfect 3p-p,imperative affirmative present 1p-s,imperative affirmative present 2p-s,imperative affirmative present 3p-s,imperative affirmative present 1p-p,imperative affirmative present 2p-p,imperative affirmative present 3p-p,imperative negative present 1p-s,imperative negative present 2p-s,imperative negative present 3p-s,imperative negative present 1p-p,imperative negative present 2p-p,imperative negative present 3p-p
insultar,to insult,insulté,insultaste,insultó,insultamos,insultasteis,insultaron,insisto,insistes,insiste,insistimos,insistís,insisten,insistiré,insistirás,insistirá,insistiremos,insistiréis,insistirán,insistía,insistías,insistía,insistíamos,insistíais,insistían,insistí,insististe,insistió,insistimos,insististeis,insistieron,insistiría,insistirías,insistiría,insistiríamos,insistiríais,insistirían,he insistido,has insistido,ha insistido,hemos insistido,habéis insistido,han insistido,habré insistido,habrás insistido,habrá insistido,habremos insistido,habréis insistido,habrán insistido,había insistido,habías insistido,había insistido,habíamos insistido,habíais insistido,habían insistido,hube insistido,hubiste insistido,hubo insistido,hubimos insistido,hubisteis insistido,hubieron insistido,habría insistido,habrías insistido,habría insistido,habríamos insistido,habríais insistido,habrían insistido,insista,insistas,insista,insistamos,insistáis,insistan,insistiera,insistieras,insistiera,insistiéramos,insistierais,insistieran,insistiere,insistieres,insistiere,insistiéremos,insistiereis,insistieren,haya insistido,hayas insistido,haya insistido,hayamos insistido,hayáis insistido,hayan insistido,hubiere insistido,hubieres insistido,hubiere insistido,hubiéremos insistido,hubiereis insistido,hubieren insistido,hubiera insistido,hubieras insistido,hubiera insistido,hubiéramos insistido,hubierais insistido,hubieran insistido,N/A,insiste,insistid,N/A,insista,insistan
insistir,to insist,insisto,insistes,insiste,insistimos,insistís,insisten,instalo,instalas,instala,instalamos,instaláis,instalan,instalaré,instalarás,instalará,instalaremos,instalaréis,instalarán,instalaba,instalabas,instalaba,instalábamos,instalabais,instalaban,instalé,instalaste,instaló,instalamos,instalasteis,instalaron,instalaría,instalarías,instalaría,instalaríamos,instalaríais,instalarían,he instalado,has instalado,ha instalado,hemos instalado,habéis instalado,han instalado,habré instalado,habrás instalado,habrá instalado,habremos instalado,habréis instalado,habrán instalado,había instalado,habías instalado,había instalado,habíamos instalado,habíais instalado,habían instalado,hube instalado,hubiste instalado,hubo instalado,hubimos instalado,hubisteis instalado,hubieron instalado,habría instalado,habrías instalado,habría instalado,habríamos instalado,habríais instalado,habrían instalado,instale,instales,instale,instalemos,instaléis,instalen,instalara,instalaras,instalara,instaláramos,instalarais,instalaran,instalare,instalares,instalare,instaláremos,instalareis,instalaren,haya instalado,hayas instalado,haya instalado,hayamos instalado,hayáis instalado,hayan instalado,hubiere instalado,hubieres instalado,hubiere instalado,hubiéremos instalado,hubiereis instalado,hubieren instalado,hubiera instalado,hubieras instalado,hubiera instalado,hubiéramos instalado,hubierais instalado,hubieran instalado,N/A,instala,instalad,N/A,instale,instalen
instalar,to install OR to set up/erect,instalo,instalas,instala,instalamos,instaláis,instalan,insulto,insultas,insulta,insultamos,insultáis,insultan,insultaré,insultarás,insultará,insultaremos,insultaréis,insultarán,insultaba,insultabas,insultaba,insultábamos,insultabais,insultaban,insultaría,insultarías,insultaría,insultaríamos,insultaríais,insultarían,he insultado,has insultado,ha insultado,hemos insultado,habéis insultado,han insultado,habré insultado,habrás insultado,habrá insultado,habremos insultado,habréis insultado,habrán insultado,había insultado,habías insultado,había insultado,habíamos insultado,habíais insultado,habían insultado,hube insultado,hubiste insultado,hubo insultado,hubimos insultado,hubisteis insultado,hubieron insultado,habría insultado,habrías insultado,habría insultado,habríamos insultado,habríais insultado,habrían insultado,insulte,insultes,insulte,insultemos,insultéis,insulten,insultara,insultaras,insultara,insultáramos,insultarais,insultaran,insultare,insultares,insultare,insultáremos,insultareis,insultaren,haya insultado,hayas insultado,haya insultado,hayamos insultado,hayáis insultado,hayan insultado,hubiere insultado,hubieres insultado,hubiere insultado,hubiéremos insultado,hubiereis insultado,hubieren insultado,hubiera insultado,hubieras insultado,hubiera insultado,hubiéramos insultado,hubierais insultado,hubieran insultado,N/A,insulta,insultad,N/A,insulte,insulten,N/A,no insultes,no insultéis,N/A,no insulte,no insulten
intentar,to try/attempt,intento,intentas,intenta,intentamos,intentáis,intentan,intentaré,intentarás,intentará,intentaremos,intentaréis,intentarán,intentaba,intentabas,intentaba,intentábamos,intentabais,intentaban,intenté,intentaste,intentó,intentamos,intentasteis,intentaron,intentaría,intentarías,intentaría,intentaríamos,intentaríais,intentarían,he intentado,has intentado,ha intentado,hemos intentado,habéis intentado,han intentado,habré intentado,habrás intentado,habrá intentado,habremos intentado,habréis intentado,habrán intentado,había intentado,habías intentado,había intentado,habíamos intentado,habíais intentado,habían intentado,hube intentado,hubiste intentado,hubo intentado,hubimos intentado,hubisteis intentado,hubieron intentado,habría intentado,habrías intentado,habría intentado,habríamos intentado,habríais intentado,habrían intentado,intente,intentes,intente,intentemos,intentéis,intenten,intentara,intentaras,intentara,intentáramos,intentarais,intentaran,intentare,intentares,intentare,intentáremos,intentareis,intentaren,haya intentado,hayas intentado,haya intentado,hayamos intentado,hayáis intentado,hayan intentado,hubiere intentado,hubieres intentado,hubiere intentado,hubiéremos intentado,hubiereis intentado,hubieren intentado,hubiera intentado,hubieras intentado,hubiera intentado,hubiéramos intentado,hubierais intentado,hubieran intentado,N/A,intenta,intentad,N/A,intente,intenten,N/A,no intentes,no intentéis,N/A,no intente,no intenten
interesar,to interest/be of interest,intereso,interesas,interesa,interesamos,interesáis,interesan,interesaré,interesarás,interesará,interesaremos,interesaréis,interesarán,interesaba,interesabas,interesaba,interesábamos,interesabais,interesaban,interesé,interesaste,interesó,interesamos,interesasteis,interesaron,interesaría,interesarías,interesaría,interesaríamos,interesaríais,interesarían,he interesado,has interesado,ha interesado,hemos interesado,habéis interesado,han interesado,habré interesado,habrás interesado,habrá interesado,habremos interesado,habréis interesado,habrán interesado,había interesado,habías interesado,había interesado,habíamos interesado,habíais interesado,habían interesado,hube interesado,hubiste interesado,hubo interesado,hubimos interesado,hubisteis interesado,hubieron interesado,habría interesado,habrías interesado,habría interesado,habríamos interesado,habríais interesado,habrían interesado,interese,intereses,interese,interesemos,intereséis,interesen,interesara,interesaras,interesara,interesáramos,interesarais,interesaran,interesare,interesares,interesare,interesáremos,interesareis,interesaren,haya interesado,hayas interesado,haya interesado,hayamos interesado,hayáis interesado,hayan interesado,hubiere interesado,hubieres interesado,hubiere interesado,hubiéremos interesado,hubiereis interesado,hubieren interesado,hubiera interesado,hubieras interesado,hubiera interesado,hubiéramos interesado,hubierais interesado,hubieran interesado,N/A,interesa,interesad,N/A,interese,interesen,N/A,no intereses,no intereséis,N/A,no interese,no interesen
interpretar,to interpret OR to translate,interpreto,interpretas,interpreta,interpretamos,interpretáis,interpretan,interpretaré,interpretarás,interpretará,interpretaremos,interpretaréis,interpretarán,interpretaba,interpretabas,interpretaba,interpretábamos,interpretabais,interpretaban,interpreté,interpretaste,interpretó,interpretamos,interpretasteis,interpretaron,interpretaría,interpretarías,interpretaría,interpretaríamos,interpretaríais,interpretarían,he interpretado,has interpretado,ha interpretado,hemos interpretado,habéis interpretado,han interpretado,habré interpretado,habrás interpretado,habrá interpretado,habremos interpretado,habréis interpretado,habrán interpretado,había interpretado,habías interpretado,había interpretado,habíamos interpretado,habíais interpretado,habían interpretado,hube interpretado,hubiste interpretado,hubo interpretado,hubimos interpretado,hubisteis interpretado,hubieron interpretado,habría interpretado,habrías interpretado,habría interpretado,habríamos interpretado,habríais interpretado,habrían interpretado,interprete,interpretes,interprete,interpretemos,interpretéis,interpreten,interpretara,interpretaras,interpretara,interpretáramos,interpretarais,interpretaran,interpretare,interpretares,interpretare,interpretáremos,interpretareis,interpretaren,haya interpretado,hayas interpretado,haya interpretado,hayamos interpretado,hayáis interpretado,hayan interpretado,hubiere interpretado,hubieres interpretado,hubiere interpretado,hubiéremos interpretado,hubiereis interpretado,hubieren interpretado,hubiera interpretado,hubieras interpretado,hubiera interpretado,hubiéramos interpretado,hubierais interpretado,hubieran interpretado,N/A,interpreta,interpretad,N/A,interprete,interpreten,N/A,no interpretes,no interpretéis,N/A,no interprete,no interpreten
introducir,to introduce/insert,introduzco,introduces,introduce,introducimos,introducís,introducen,introduciré,introducirás,introducirá,introduciremos,introduciréis,introducirán,introducía,introducías,introducía,introducíamos,introducíais,introducían,introduje,introdujiste,introdujo,introdujimos,introdujisteis,introdujeron,introduciría,introducirías,introduciría,introduciríamos,introduciríais,introducirían,he introducido,has introducido,ha introducido,hemos introducido,habéis introducido,han introducido,habré introducido,habrás introducido,habrá introducido,habremos introducido,habréis introducido,habrán introducido,había introducido,habías introducido,había introducido,habíamos introducido,habíais introducido,habían introducido,hube introducido,hubiste introducido,hubo introducido,hubimos introducido,hubisteis introducido,hubieron introducido,habría introducido,habrías introducido,habría introducido,habríamos introducido,habríais introducido,habrían introducido,introduzca,introduzcas,introduzca,introduzcamos,introduzcáis,introduzcan,introdujera,introdujeras,introdujera,introdujéramos,introdujerais,introdujeran,introdujere,introdujeres,introdujere,introdujéremos,introdujereis,introdujeren,haya introducido,hayas introducido,haya introducido,hayamos introducido,hayáis introducido,hayan introducido,hubiere introducido,hubieres introducido,hubiere introducido,hubiéremos introducido,hubiereis introducido,hubieren introducido,hubiera introducido,hubieras introducido,hubiera introducido,hubiéramos introducido,hubierais introducido,hubieran introducido,N/A,introduce,introducid,N/A,introduzca,introduzcan,N/A,no introduzcas,no introduzcáis,N/A,no introduzca,no introduzcan
invadir,to invade/overrun,invado,invades,invade,invadimos,invadís,invaden,invadiré,invadirás,invadirá,invadiremos,invadiréis,invadirán,invadía,invadías,invadía,invadíamos,invadíais,invadían,invadí,invadiste,invadió,invadimos,invadisteis,invadieron,invadiría,invadirías,invadiría,invadiríamos,invadiríais,invadirían,he invadido,has invadido,ha invadido,hemos invadido,habéis invadido,han invadido,habré invadido,habrás invadido,habrá invadido,habremos invadido,habréis invadido,habrán invadido,había invadido,habías invadido,había invadido,habíamos invadido,habíais invadido,habían invadido,hube invadido,hubiste invadido,hubo invadido,hubimos invadido,hubisteis invadido,hubieron invadido,habría invadido,habrías invadido,habría invadido,habríamos invadido,habríais invadido,habrían invadido,invada,invadas,invada,invadamos,invadáis,invadan,invadiera,invadieras,invadiera,invadiéramos,invadierais,invadieran,invadiere,invadieres,invadiere,invadiéremos,invadiereis,invadieren,haya invadido,hayas invadido,haya invadido,hayamos invadido,hayáis invadido,hayan invadido,hubiere invadido,hubieres invadido,hubiere invadido,hubiéremos invadido,hubiereis invadido,hubieren invadido,hubiera invadido,hubieras invadido,hubiera invadido,hubiéramos invadido,hubierais invadido,hubieran invadido,N/A,invade,invadid,N/A,invada,invadan,N/A,no invadas,no invadáis,N/A,no invada,no invadan
inventar,to invent,invento,inventas,inventa,inventamos,inventáis,inventan,inventaré,inventarás,inventará,inventaremos,inventaréis,inventarán,inventaba,inventabas,inventaba,inventábamos,inventabais,inventaban,inventé,inventaste,inventó,inventamos,inventasteis,inventaron,inventaría,inventarías,inventaría,inventaríamos,inventaríais,inventarían,he inventado,has inventado,ha inventado,hemos inventado,habéis inventado,han inventado,habré inventado,habrás inventado,habrá inventado,habremos inventado,habréis inventado,habrán inventado,había inventado,habías inventado,había inventado,habíamos inventado,habíais inventado,habían inventado,hube inventado,hubiste inventado,hubo inventado,hubimos inventado,hubisteis inventado,hubieron inventado,habría inventado,habrías inventado,habría inventado,habríamos inventado,habríais inventado,habrían inventado,invente,inventes,invente,inventemos,inventéis,inventen,inventara,inventaras,inventara,inventáramos,inventarais,inventaran,inventare,inventares,inventare,inventáremos,inventareis,inventaren,haya inventado,hayas inventado,haya inventado,hayamos inventado,hayáis inventado,hayan inventado,hubiere inventado,hubieres inventado,hubiere inventado,hubiéremos inventado,hubiereis inventado,hubieren inventado,hubiera inventado,hubieras inventado,hubiera inventado,hubiéramos inventado,hubierais inventado,hubieran inventado,N/A,inventa,inventad,N/A,invente,inventen,N/A,no inventes,no inventéis,N/A,no invente,no inventen
invertir,to invest,invierto,inviertes,invierte,invertimos,invertís,invierten,invertiré,invertirás,invertirá,invertiremos,invertiréis,invertirán,invertía,invertías,invertía,invertíamos,invertíais,invertían,invertí,invertiste,invirtió,invertimos,invertisteis,invirtieron,invertiría,invertirías,invertiría,invertiríamos,invertiríais,invertirían,he invertido,has invertido,ha invertido,hemos invertido,habéis invertido,han invertido,habré invertido,habrás invertido,habrá invertido,habremos invertido,habréis invertido,habrán invertido,había invertido,habías invertido,había invertido,habíamos invertido,habíais invertido,habían invertido,hube invertido,hubiste invertido,hubo invertido,hubimos invertido,hubisteis invertido,hubieron invertido,habría invertido,habrías invertido,habría invertido,habríamos invertido,habríais invertido,habrían invertido,invierta,inviertas,invierta,invirtamos,invirtáis,inviertan,invirtiera,invirtieras,invirtiera,invirtéramos,invirtierais,invirtieran,invirtiere,invirtieres,invirtiere,invirtiéremos,invirtiereis,invirtieren,haya invertido,hayas invertido,haya invertido,hayamos invertido,hayáis invertido,hayan invertido,hubiere invertido,hubieres invertido,hubiere invertido,hubiéremos invertido,hubiereis invertido,hubieren invertido,hubiera invertido,hubieras invertido,hubiera invertido,hubiéramos invertido,hubierais invertido,hubieran invertido,N/A,invierte,invertid,N/A,invierta,inviertan,N/A,no inviertas,no invirtáis,N/A,no invierta,no inviertan
investigar,to investigate,investigo,investigas,investiga,investigamos,investigáis,investigan,investigaré,investigarás,investigará,investigaremos,investigaréis,investigarán,investigaba,investigabas,investigaba,investigábamos,investigabais,investigaban,investigué,investigaste,investigó,investigamos,investigasteis,investigaron,investigaría,investigarías,investigaría,investigaríamos,investigaríais,investigarían,he investigado,has investigado,ha investigado,hemos investigado,habéis investigado,han investigado,habré investigado,habrás investigado,habrá investigado,habremos investigado,habréis investigado,habrán investigado,había investigado,habías investigado,había investigado,habíamos investigado,habíais investigado,habían investigado,hube investigado,hubiste investigado,hubo investigado,hubimos investigado,hubisteis investigado,hubieron investigado,habría investigado,habrías investigado,habría investigado,habríamos investigado,habríais investigado,habrían investigado,investigue,investigues,investigue,investiguemos,investiguéis,investiguen,investigara,investigaras,investigara,investigáramos,investigarais,investigaran,investigare,investigares,investigare,investigáremos,investigareis,investigaren,haya investigado,hayas investigado,haya investigado,hayamos investigado,hayáis investigado,hayan investigado,hubiere investigado,hubieres investigado,hubiere investigado,hubiéremos investigado,hubiereis investigado,hubieren investigado,hubiera investigado,hubieras investigado,hubiera investigado,hubiéramos investigado,hubierais investigado,hubieran investigado,N/A,investiga,investigad,N/A,investigue,investiguen,N/A,no investigues,no investiguéis,N/A,no investigue,no investiguen
invitar,to invite,invito,invitas,invita,invitamos,invitáis,invitan,invitaré,invitarás,invitará,invitaremos,invitaréis,invitarán,invitaba,invitabas,invitaba,invitábamos,invitabais,invitaban,invité,invitaste,invitó,invitamos,invitasteis,invitaron,invitaría,invitarías,invitaría,invitaríamos,invitaríais,invitarían,he invitado,has invitado,ha invitado,hemos invitado,habéis invitado,han invitado,habré invitado,habrás invitado,habrá invitado,habremos invitado,habréis invitado,habrán invitado,había invitado,habías invitado,había invitado,habíamos invitado,habíais invitado,habían invitado,hube invitado,hubiste invitado,hubo invitado,hubimos invitado,hubisteis invitado,hubieron invitado,habría invitado,habrías invitado,habría invitado,habríamos invitado,habríais invitado,habrían invitado,invite,invites,invite,invitemos,invitéis,inviten,invitara,invitaras,invitara,invitáramos,invitarais,invitaran,invitare,invitares,invitare,invitáremos,invitareis,invitaren,haya invitado,hayas invitado,haya invitado,hayamos invitado,hayáis invitado,hayan invitado,hubiere invitado,hubieres invitado,hubiere invitado,hubiéremos invitado,hubiereis invitado,hubieren invitado,hubiera invitado,hubieras invitado,hubiera invitado,hubiéramos invitado,hubierais invitado,hubieran invitado,N/A,invita,invitad,N/A,invite,inviten,N/A,no invites,no invitéis,N/A,no invite,no inviten
invocar,to invoke,invoco,invocas,invoca,invocamos,invocáis,invocan,invocaré,invocarás,invocará,invocaremos,invocaréis,invocarán,invocaba,invocabas,invocaba,invocábamos,invocabais,invocaban,invoqué,invocaste,invocó,invocamos,invocasteis,invocaron,invocaría,invocarías,invocaría,invocaríamos,invocaríais,invocarían,he invocado,has invocado,ha invocado,hemos invocado,habéis invocado,han invocado,habré invocado,habrás invocado,habrá invocado,habremos invocado,habréis invocado,habrán invocado,había invocado,habías invocado,había invocado,habíamos invocado,habíais invocado,habían invocado,hube invocado,hubiste invocado,hubo invocado,hubimos invocado,hubisteis invocado,hubieron invocado,habría invocado,habrías invocado,habría invocado,habríamos invocado,habríais invocado,habrían invocado,invoque,invoques,invoque,invoquemos,invoquéis,invoquen,invocara,invocaras,invocara,invocáramos,invocarais,invocaran,invocare,invocares,invocare,invocáremos,invocareis,invocaren,haya invocado,hayas invocado,haya invocado,hayamos invocado,hayáis invocado,hayan invocado,hubiere invocado,hubieres invocado,hubiere invocado,hubiéremos invocado,hubiereis invocado,hubieren invocado,hubiera invocado,hubieras invocado,hubiera invocado,hubiéramos invocado,hubierais invocado,hubieran invocado,N/A,invoca,invocad,N/A,invoque,invoquen,N/A,no invoques,no invoquéis,N/A,no invoque,no invoquen
ir,to go,voy,vas,va,vamos,vais,van,iré,irás,irá,iremos,iréis,irán,iba,ibas,iba,íbamos,ibais,iban,fui,fuiste,fue,fuimos,fuisteis,fueron,iría,irías,iría,iríamos,iríais,irían,he ido,has ido,ha ido,hemos ido,habéis ido,han ido,habré ido,habrás ido,habrá ido,habremos ido,habréis ido,habrán ido,había ido,habías ido,había ido,habíamos ido,habíais ido,habían ido,hube ido,hubiste ido,hubo ido,hubimos ido,hubisteis ido,hubieron ido,habría ido,habrías ido,habría ido,habríamos ido,habríais ido,habrían ido,vaya,vayas,vaya,vayamos,vayáis,vayan,fuera,fueras,fuera,fuéramos,fuerais,fueran,fuere,fueres,fuere,fuéremos,fuereis,fueren,haya ido,hayas ido,haya ido,hayamos ido,hayáis ido,hayan ido,hubiere ido,hubieres ido,hubiere ido,hubiéremos ido,hubiereis ido,hubieren ido,hubiera ido,hubieras ido,hubiera ido,hubiéramos ido,hubierais ido,hubieran ido,N/A,ve,id,N/A,vaya,vayan,N/A,no vayas,no vayáis,N/A,no vaya,no vayan
irse,to go away/leave/depart,me voy,te vas,se va,nos vamos,os vais,se van,me iré,te irás,se irá,nos iremos,os iréis,se irán,me iba,te ibas,se iba,nos íbamos,os ibais,se iban,me fui,te fuiste,se fue,nos fuimos,os fuisteis,se fueron,me iría,te irías,se iría,nos iríamos,os iríais,se irían,me he ido,te has ido,se ha ido,nos hemos ido,os habéis ido,se han ido,me habré ido,te habrás ido,se habrá ido,nos habremos ido,os habréis ido,se habrán ido,me había ido,te habías ido,se había ido,nos habíamos ido,os habíais ido,se habían ido,me hube ido,te hubiste ido,se hubo ido,nos hubimos ido,os hubisteis ido,se hubieron ido,me habría ido,te habrías ido,se habría ido,nos habríamos ido,os habríais ido,se habrían ido,me vaya,te vayas,se vaya,nos vayamos,os vayáis,se vayan,me fuera,te fueras,se fuera,nos fuéramos,os fuerais,se fueran,me fuere,te fueres,se fuere,nos fuéremos,os fuereis,se fueren,me haya ido,te hayas ido,se haya ido,nos hayamos ido,os hayáis ido,se hayan ido,me hubiere ido,te hubieres ido,se hubiere ido,nos hubiéremos ido,os hubiereis ido,se hubieren ido,me hubiera ido,te hubieras ido,se hubiera ido,nos hubiéramos ido,os hubierais ido,se hubieran ido,N/A,vete,idos,N/A,váyase,váyanse,N/A,no te vayas,no os vayáis,N/A,no se vaya,no se vayan
jactarse,to boast/brag,me jacto,te jactas,se jacta,nos jactamos,os jactáis,se jactan,me jactaré,te jactarás,se jactará,nos jactaremos,os jactaréis,se jactarán,me jactaba,te jactabas,se jactaba,nos jactábamos,os jactabais,se jactaban,me jacté,te jactaste,se jactó,nos jactamos,os jactasteis,se jactaron,me jactaría,te jactarías,se jactaría,nos jactaríamos,os jactaríais,se jactarían,me he jactado,te has jactado,se ha jactado,nos hemos jactado,os habéis jactado,se han jactado,me habré jactado,te habrás jactado,se habrá jactado,nos habremos jactado,os habréis jactado,se habrán jactado,me había jactado,te habías jactado,se había jactado,nos habíamos jactado,os habíais jactado,se habían jactado,me hube jactado,te hubiste jactado,se hubo jactado,nos hubimos jactado,os hubisteis jactado,se hubieron jactado,me habría jactado,te habrías jactado,se habría jactado,nos habríamos jactado,os habríais jactado,se habrían jactado,me jacte,te jactes,se jacte,nos jactemos,os jactéis,se jacten,me jactara,te jactaras,se jactara,nos jactáramos,os jactarais,se jactaran,me jactare,te jactares,se jactare,nos jactáremos,os jactareis,se jactaren,me haya jactado,te hayas jactado,se haya jactado,nos hayamos jactado,os hayáis jactado,se hayan jactado,me hubiere jactado,te hubieres jactado,se hubiere jactado,nos hubiéremos jactado,os hubiereis jactado,se hubieren jactado,me hubiera jactado,te hubieras jactado,se hubiera jactado,nos hubiéramos jactado,os hubierais jactado,se hubieran jactado,N/A,jáctate,jactaos,N/A,jáctese,jáctense,N/A,no te jactes,no os jactéis,N/A,no se jacte,no se jacten
jugar,to play,juego,juegas,juega,jugamos,jugáis,juegan,jugaré,jugarás,jugará,jugaremos,jugaréis,jugarán,jugaba,jugabas,jugaba,jugábamos,jugabais,jugaban,jugué,jugaste,jugó,jugamos,jugasteis,jugaron,jugaría,jugarías,jugaría,jugaríamos,jugaríais,jugarían,he jugado,has jugado,ha jugado,hemos jugado,habéis jugado,han jugado,habré jugado,habrás jugado,habrá jugado,habremos jugado,habréis jugado,habrán jugado,había jugado,habías jugado,había jugado,habíamos jugado,habíais jugado,habían jugado,hube jugado,hubiste jugado,hubo jugado,hubimos jugado,hubisteis jugado,hubieron jugado,habría jugado,habrías jugado,habría jugado,habríamos jugado,habríais jugado,habrían jugado,juegue,juegues,juegue,juguemos,juguéis,jueguen,jugara,jugaras,jugara,jugáramos,jugarais,jugaran,jugare,jugares,jugare,jugáremos,jugareis,jugaren,haya jugado,hayas jugado,haya jugado,hayamos jugado,hayáis jugado,hayan jugado,hubiere jugado,hubieres jugado,hubiere jugado,hubiéremos jugado,hubiereis jugado,hubieren jugado,hubiera jugado,hubieras jugado,hubiera jugado,hubiéramos jugado,hubierais jugado,hubieran jugado,N/A,juega,jugad,N/A,juegue,jueguen,N/A,no juegues,no juguéis,N/A,no juegue,no jueguen
juntar,to join/unite/put together/assemble,junto,juntas,junta,juntamos,juntáis,juntan,juntaré,juntarás,juntará,juntaremos,juntaréis,juntarán,juntaba,juntabas,juntaba,juntábamos,juntabais,juntaban,junté,juntaste,juntó,juntamos,juntasteis,juntaron,juntaría,juntarías,juntaría,juntaríamos,juntaríais,juntarían,he juntado,has juntado,ha juntado,hemos juntado,habéis juntado,han juntado,habré juntado,habrás juntado,habrá juntado,habremos juntado,habréis juntado,habrán juntado,había juntado,habías juntado,había juntado,habíamos juntado,habíais juntado,habían juntado,hube juntado,hubiste juntado,hubo juntado,hubimos juntado,hubisteis juntado,hubieron juntado,habría juntado,habrías juntado,habría juntado,habríamos juntado,habríais juntado,habrían juntado,junte,juntes,junte,juntemos,juntéis,junten,juntara,juntaras,juntara,juntáramos,juntarais,juntaran,juntare,juntares,juntare,juntáremos,juntareis,juntaren,haya juntado,hayas juntado,haya juntado,hayamos juntado,hayáis juntado,hayan juntado,hubiere juntado,hubieres juntado,hubiere juntado,hubiéremos juntado,hubiereis juntado,hubieren juntado,hubiera juntado,hubieras juntado,hubiera juntado,hubiéramos juntado,hubierais juntado,hubieran juntado,N/A,junta,juntad,N/A,junte,junten,N/A,no juntes,no juntéis,N/A,no junte,no junten
juntarse,to join/come together/gather together/meet,me junto,te juntas,se junta,nos juntamos,os juntáis,se juntan,me juntaré,te juntarás,se juntará,nos juntaremos,os juntaréis,se juntarán,me juntaba,te juntabas,se juntaba,nos juntábamos,os juntabais,se juntaban,me junté,te juntaste,se juntó,nos juntamos,os juntasteis,se juntaron,me juntaría,te juntarías,se juntaría,nos juntaríamos,os juntaríais,se juntarían,me he juntado,te has juntado,se ha juntado,nos hemos juntado,os habéis juntado,se han juntado,me habré juntado,te habrás juntado,se habrá juntado,nos habremos juntado,os habréis juntado,se habrán juntado,me había juntado,te habías juntado,se había juntado,nos habíamos juntado,os habíais juntado,se habían juntado,me hube juntado,te hubiste juntado,se hubo juntado,nos hubimos juntado,os hubisteis juntado,se hubieron juntado,me habría juntado,te habrías juntado,se habría juntado,nos habríamos juntado,os habríais juntado,se habrían juntado,me junte,te juntes,se junte,nos juntemos,os juntéis,se junten,me juntara,te juntaras,se juntara,nos juntáramos,os juntarais,se juntaran,me juntare,te juntares,se juntare,nos juntáremos,os juntareis,se juntaren,me haya juntado,te hayas juntado,se haya juntado,nos hayamos juntado,os hayáis juntado,se hayan juntado,me hubiere juntado,te hubieres juntado,se hubiere juntado,nos hubiéremos juntado,os hubiereis juntado,se hubieren juntado,me hubiera juntado,te hubieras juntado,se hubiera juntado,nos hubiéramos juntado,os hubierais juntado,se hubieran juntado,N/A,júntate,juntaos,N/A,júntese,júntense,N/A,no te juntes,no os juntéis,N/A,no se junte,no se junten
