infinitive,English Translation,Irregular,present 1p-s,present 2p-s,present 3p-s,present 1p-p,present 2p-p,present 3p-p,imperfect 1p-s,imperfect 2p-s,imperfect 3p-s,imperfect 1p-p,imperfect 2p-p,imperfect 3p-p,passe simple 1p-s,passe simple 2p-s,passe simple 3p-s,passe simple 1p-p,passe simple 2p-p,passe simple 3p-p,simple future 1p-s,simple future 2p-s,simple future 3p-s,simple future 1p-p,simple future 2p-p,simple future 3p-p,conditional 1p-s,conditional 2p-s,conditional 3p-s,conditional 1p-p,conditional 2p-p,conditional 3p-p,subjunctive 1p-s,subjunctive 2p-s,subjunctive 3p-s,subjunctive 1p-p,subjunctive 2p-p,subjunctive 3p-p,imperfect subjunctive 1p-s,imperfect subjunctive 2p-s,imperfect subjunctive 3p-s,imperfect subjunctive 1p-p,imperfect subjunctive 2p-p,imperfect subjunctive 3p-p,imperative 1p-s,imperative 2p-s,imperative 3p-s,imperative 1p-p,imperative 2p-p,imperative 3p-p,passe compose 1p-s,passe compose 2p-s,passe compose 3p-s,passe compose 1p-p,passe compose 2p-p,passe compose 3p-p,past perfect 1p-s,past perfect 2p-s,past perfect 3p-s,past perfect 1p-p,past perfect 2p-p,past perfect 3p-p,future perfect 1p-s,future perfect 2p-s,future perfect 3p-s,future perfect 1p-p,future perfect 2p-p,future perfect 3p-p,past conditional 1p-s,past conditional 2p-s,past conditional 3p-s,past conditional 1p-p,past conditional 2p-p,past conditional 3p-p,past subjunctive 1p-s,past subjunctive 2p-s,past subjunctive 3p-s,past subjunctive 1p-p,past subjunctive 2p-p,past subjunctive 3p-p,pluperfect subjunctive 1p-s,pluperfect subjunctive 2p-s,pluperfect subjunctive 3p-s,pluperfect subjunctive 1p-p,pluperfect subjunctive 2p-p,pluperfect subjunctive 3p-p,past anterior 1p-s,past anterior 2p-s,past anterior 3p-s,past anterior 1p-p,past anterior 2p-p,past anterior 3p-p,imperative 1p-s,past imperative 2p-s,imperative 3p-s,past imperative 1p-p,past imperative 2p-p,imperative 3p-p,gerund
débattre,to debate,TRUE,débats,débats,débat,débattons,débattez,débattent,débattais,débattais,débattait,débattions,débattiez,débattaient,débattis,débattis,débattit,débattîmes,débattîtes,débattirent,débattrai,débattras,débattra,débattrons,débattrez,débattront,débattrais,débattrais,débattrait,débattrions,débattriez,débattraient,débatte,débattes,débatte,débattions,débattiez,débattent,débattisse,débattisses,débattît,débattissions,débattissiez,débattissent,N/A,débats,N/A,débattons,débattez,N/A,ai débattu,as débattu,a débattu,avons débattu,avez débattu,ont débattu,avais débattu,avais débattu,avait débattu,avions débattu,aviez débattu,avaient débattu,aurai débattu,auras débattu,aura débattu,aurons débattu,aurez débattu,auront débattu,aurais débattu,aurais débattu,aurait débattu,aurions débattu,auriez débattu,auraient débattu,aie débattu,aies débattu,ait débattu,ayons débattu,ayez débattu,aient débattu,eusse débattu,eusses débattu,eût débattu,eussions débattu,eussiez débattu,eussent débattu,eus débattu,eus débattu,eut débattu,eûmes débattu,eûtes débattu,eurent débattu,N/A,aie débattu,N/A,ayons débattu,ayez débattu,N/A,débattant
décider,to decide,FALSE,décide,décides,décide,décidons,décidez,décident,décidais,décidais,décidait,décidions,décidiez,décidaient,décidai,décidas,décida,décidâmes,décidâtes,décidèrent,déciderai,décideras,décidera,déciderons,déciderez,décideront,déciderais,déciderais,déciderait,déciderions,décideriez,décideraient,décide,décides,décide,décidions,décidiez,décident,décidasse,décidasses,décidât,décidassions,décidassiez,décidassent,N/A,décide,N/A,décidons,décidez,N/A,ai décidé,as décidé,a décidé,avons décidé,avez décidé,ont décidé,avais décidé,avais décidé,avait décidé,avions décidé,aviez décidé,avaient décidé,aurai décidé,auras décidé,aura décidé,aurons décidé,aurez décidé,auront décidé,aurais décidé,aurais décidé,aurait décidé,aurions décidé,auriez décidé,auraient décidé,aie décidé,aies décidé,ait décidé,ayons décidé,ayez décidé,aient décidé,eusse décidé,eusses décidé,eût décidé,eussions décidé,eussiez décidé,eussent décidé,eus décidé,eus décidé,eut décidé,eûmes décidé,eûtes décidé,eurent décidé,N/A,aie décidé,N/A,ayons décidé,ayez décidé,N/A,décidant
craindre,to fear,TRUE,crains,crains,craint,craignons,craignez,craignent,craignais,craignais,craignait,craignions,craigniez,craignaient,craignis,craignis,craignit,craignîmes,craignîtes,craignirent,craindrai,craindras,craindra,craindrons,craindrez,craindront,craindrais,craindrais,craindrait,craindrions,craindriez,craindraient,craigne,craignes,craigne,craignions,craigniez,craignent,craignisse,craignisses,craignît,craignissions,craignissiez,craignissent,N/A,crains,N/A,craignons,craignez,N/A,ai craint,as craint,a craint,avons craint,avez craint,ont craint,avais craint,avais craint,avait craint,avions craint,aviez craint,avaient craint,aurai craint,auras craint,aura craint,aurons craint,aurez craint,auront craint,aurais craint,aurais craint,aurait craint,aurions craint,auriez craint,auraient craint,aie craint,aies craint,ait craint,ayons craint,ayez craint,aient craint,eusse craint,eusses craint,eût craint,eussions craint,eussiez craint,eussent craint,eus craint,eus craint,eut craint,eûmes craint,eûtes craint,eurent craint,N/A,aie craint,N/A,ayons craint,ayez craint,N/A,craignant
couvrir,to cover,TRUE,couvre,couvres,couvre,couvrons,couvrez,couvrent,couvrais,couvrais,couvrait,couvrions,couvriez,couvraient,couvris,couvris,couvrit,couvrîmes,couvrîtes,couvrirent,couvrirai,couvriras,couvrira,couvrirons,couvrirez,couvriront,couvrirais,couvrirais,couvrirait,couvririons,couvririez,couvriraient,couvre,couvres,couvre,couvrions,couvriez,couvrent,couvrisse,couvrisses,couvrît,couvrissions,couvrissiez,couvrissent,N/A,couvre,N/A,couvrons,couvrez,N/A,ai couvert,as couvert,a couvert,avons couvert,avez couvert,ont couvert,avais couvert,avais couvert,avait couvert,avions couvert,aviez couvert,avaient couvert,aurai couvert,auras couvert,aura couvert,aurons couvert,aurez couvert,auront couvert,aurais couvert,aurais couvert,aurait couvert,aurions couvert,auriez couvert,auraient couvert,aie couvert,aies couvert,ait couvert,ayons couvert,ayez couvert,aient couvert,eusse couvert,eusses couvert,eût couvert,eussions couvert,eussiez couvert,eussent couvert,eus couvert,eus couvert,eut couvert,eûmes couvert,eûtes couvert,eurent couvert,N/A,aie couvert,N/A,ayons couvert,ayez couvert,N/A,couvrant
coûter,to cost,FALSE,coûte,coûtes,coûte,coûtons,coûtez,coûtent,coûtais,coûtais,coûtait,coûtions,coûtiez,coûtaient,coûtai,coûtas,coûta,coûtâmes,coûtâtes,coûtèrent,coûterai,coûteras,coûtera,coûterons,coûterez,coûteront,coûterais,coûterais,coûterait,coûterions,coûteriez,coûteraient,coûte,coûtes,coûte,coûtions,coûtiez,coûtent,coûtasse,coûtasses,coûtât,coûtassions,coûtassiez,coûtassent,N/A,coûte,N/A,coûtons,coûtez,N/A,ai coûté,as coûté,a coûté,avons coûté,avez coûté,ont coûté,avais coûté,avais coûté,avait coûté,avions coûté,aviez coûté,avaient coûté,aurai coûté,auras coûté,aura coûté,aurons coûté,aurez coûté,auront coûté,aurais coûté,aurais coûté,aurait coûté,aurions coûté,auriez coûté,auraient coûté,aie coûté,aies coûté,ait coûté,ayons coûté,ayez coûté,aient coûté,eusse coûté,eusses coûté,eût coûté,eussions coûté,eussiez coûté,eussent coûté,eus coûté,eus coûté,eut coûté,eûmes coûté,eûtes coûté,eurent coûté,N/A,aie coûté,N/A,ayons coûté,ayez coûté,N/A,coûtant
découvrir,to discover,TRUE,découvre,découvres,découvre,découvrons,découvrez,découvrent,découvrais,découvrais,découvrait,découvrions,découvriez,découvraient,découvris,découvris,découvrit,découvrîmes,découvrîtes,découvrirent,découvrirai,découvriras,découvrira,découvrirons,découvrirez,découvriront,découvrirais,découvrirais,découvrirait,découvririons,découvririez,découvriraient,découvre,découvres,découvre,découvrions,découvriez,découvrent,découvrisse,découvrisses,découvrît,découvrissions,découvrissiez,découvrissent,N/A,découvre,N/A,découvrons,découvrez,N/A,ai découvert,as découvert,a découvert,avons découvert,avez découvert,ont découvert,avais découvert,avais découvert,avait découvert,avions découvert,aviez découvert,avaient découvert,aurai découvert,auras découvert,aura découvert,aurons découvert,aurez découvert,auront découvert,aurais découvert,aurais découvert,aurait découvert,aurions découvert,auriez découvert,auraient découvert,aie découvert,aies découvert,ait découvert,ayons découvert,ayez découvert,aient découvert,eusse découvert,eusses découvert,eût découvert,eussions découvert,eussiez découvert,eussent découvert,eus découvert,eus découvert,eut découvert,eûmes découvert,eûtes découvert,eurent découvert,N/A,aie découvert,N/A,ayons découvert,ayez découvert,N/A,découvrant
défaillir,to faint,TRUE,défaille,défailles,défaille,défaillons,défaillez,défaillent,défaillais,défaillais,défaillait,défaillions,défailliez,défaillaient,défaillis,défaillis,défaillit,défaillîmes,défaillîtes,défaillirent,défaillirai,défailliras,défaillira,défaillirons,défaillirez,défailliront,défaillirais,défaillirais,défaillirait,défaillirions,défailliriez,défailliraient,défaille,défailles,défaille,défaillions,défailliez,défaillent,défaillisse,défaillisses,défaillît,défaillissions,défaillissiez,défaillissent,N/A,défaille,N/A,défaillons,défaillez,N/A,ai défailli,as défailli,a défailli,avons défailli,avez défailli,ont défailli,avais défailli,avais défailli,avait défailli,avions défailli,aviez défailli,avaient défailli,aurai défailli,auras défailli,aura défailli,aurons défailli,aurez défailli,auront défailli,aurais défailli,aurais défailli,aurait défailli,aurions défailli,auriez défailli,auraient défailli,aie défailli,aies défailli,ait défailli,ayons défailli,ayez défailli,aient défailli,eusse défailli,eusses défailli,eût défailli,eussions défailli,eussiez défailli,eussent défailli,eus défailli,eus défailli,eut défailli,eûmes défailli,eûtes défailli,eurent défailli,N/A,aie défailli,N/A,ayons défailli,ayez défailli,N/A,défaillant
déconfire,to be beaten,TRUE,déconfis,déconfis,déconfit,déconfisons,déconfisez,déconfisent,déconfisais,déconfisais,déconfisait,déconfisions,déconfisiez,déconfisaient,déconfis,déconfis,déconfit,déconfîmes,déconfîtes,déconfirent,déconfirai,déconfiras,déconfira,déconfirons,déconfirez,déconfiront,déconfirais,déconfirais,déconfirait,déconfirions,déconfiriez,déconfiraient,déconfise,déconfises,déconfise,déconfisions,déconfisiez,déconfisent,déconfisisse,déconfisisses,déconfisît,déconfisissions,déconfisissiez,déconfisissent,N/A,déconfis,N/A,déconfisons,déconfisez,N/A,ai déconfisant,as déconfisant,a déconfisant,avons déconfisant,avez déconfisant,ont déconfisant,avais déconfisant,avais déconfisant,avait déconfisant,avions déconfisant,aviez déconfisant,avaient déconfisant,aurai déconfisant,auras déconfisant,aura déconfisant,aurons déconfisant,aurez déconfisant,auront déconfisant,aurais déconfisant,aurais déconfisant,aurait déconfisant,aurions déconfisant,auriez déconfisant,auraient déconfisant,aie déconfisant,aies déconfisant,ait déconfisant,ayons déconfisant,ayez déconfisant,aient déconfisant,eusse déconfisant,eusses déconfisant,eût déconfisant,eussions déconfisant,eussiez déconfisant,eussent déconfisant,eus déconfisant,eus déconfisant,eut déconfisant,eûmes déconfisant,eûtes déconfisant,eurent déconfisant,N/A,aie déconfisant,N/A,ayons déconfisant,ayez déconfisant,N/A,déconfit
décourager,to discourage,FALSE,décourage,décourages,décourage,décourageons,découragez,découragent,décourageais,décourageais,décourageait,découragions,découragiez,décourageaient,décourageai,décourageas,découragea,décourageâmes,décourageâtes,découragèrent,découragerai,décourageras,découragera,découragerons,découragerez,décourageront,découragerais,découragerais,découragerait,découragerions,décourageriez,décourageraient,décourage,décourages,décourage,découragions,découragiez,découragent,décourageasse,décourageasses,décourageât,décourageassions,décourageassiez,décourageassent,N/A,décourage,N/A,décourageons,découragez,N/A,ai découragé,as découragé,a découragé,avons découragé,avez découragé,ont découragé,avais découragé,avais découragé,avait découragé,avions découragé,aviez découragé,avaient découragé,aurai découragé,auras découragé,aura découragé,aurons découragé,aurez découragé,auront découragé,aurais découragé,aurais découragé,aurait découragé,aurions découragé,auriez découragé,auraient découragé,aie découragé,aies découragé,ait découragé,ayons découragé,ayez découragé,aient découragé,eusse découragé,eusses découragé,eût découragé,eussions découragé,eussiez découragé,eussent découragé,eus découragé,eus découragé,eut découragé,eûmes découragé,eûtes découragé,eurent découragé,N/A,aie découragé,N/A,ayons découragé,ayez découragé,N/A,décourageant
dégager,to free,FALSE,dégage,dégages,dégage,dégageons,dégagez,dégagent,dégageais,dégageais,dégageait,dégagions,dégagiez,dégageaient,dégageai,dégageas,dégagea,dégageâmes,dégageâtes,dégagèrent,dégagerai,dégageras,dégagera,dégagerons,dégagerez,dégageront,dégagerais,dégagerais,dégagerait,dégagerions,dégageriez,dégageraient,dégage,dégages,dégage,dégagions,dégagiez,dégagent,dégageasse,dégageasses,dégageât,dégageassions,dégageassiez,dégageassent,N/A,dégage,N/A,dégageons,dégagez,N/A,ai dégagé,as dégagé,a dégagé,avons dégagé,avez dégagé,ont dégagé,avais dégagé,avais dégagé,avait dégagé,avions dégagé,aviez dégagé,avaient dégagé,aurai dégagé,auras dégagé,aura dégagé,aurons dégagé,aurez dégagé,auront dégagé,aurais dégagé,aurais dégagé,aurait dégagé,aurions dégagé,auriez dégagé,auraient dégagé,aie dégagé,aies dégagé,ait dégagé,ayons dégagé,ayez dégagé,aient dégagé,eusse dégagé,eusses dégagé,eût dégagé,eussions dégagé,eussiez dégagé,eussent dégagé,eus dégagé,eus dégagé,eut dégagé,eûmes dégagé,eûtes dégagé,eurent dégagé,N/A,aie dégagé,N/A,ayons dégagé,ayez dégagé,N/A,dégageant
découdre,to unpick,TRUE,découds,découds,découd,décousons,décousez,décousent,décousais,décousais,décousait,décousions,décousiez,décousaient,décousis,décousis,décousit,décousîmes,décousîtes,décousirent,découdrai,découdras,découdra,découdrons,découdrez,découdront,découdrais,découdrais,découdrait,découdrions,découdriez,découdraient,découse,découses,découse,décousions,décousiez,décousent,décousisse,décousisses,décousît,décousissions,décousissiez,décousissent,N/A,découds,N/A,décousons,décousez,N/A,ai décousu,as décousu,a décousu,avons décousu,avez décousu,ont décousu,avais décousu,avais décousu,avait décousu,avions décousu,aviez décousu,avaient décousu,aurai décousu,auras décousu,aura décousu,aurons décousu,aurez décousu,auront décousu,aurais décousu,aurais décousu,aurait décousu,aurions décousu,auriez décousu,auraient décousu,aie décousu,aies décousu,ait décousu,ayons décousu,ayez décousu,aient décousu,eusse décousu,eusses décousu,eût décousu,eussions décousu,eussiez décousu,eussent décousu,eus décousu,eus décousu,eut décousu,eûmes décousu,eûtes décousu,eurent décousu,N/A,aie décousu,N/A,ayons décousu,ayez décousu,N/A,décousant
dédire,to retract,TRUE,dédis,dédis,dédit,dédisons,dédisez,dédisent,dédisais,dédisais,dédisait,dédisions,dédisiez,dédisaient,dédis,dédis,dédit,dédîmes,dédîtes,dédirent,dédirai,dédiras,dédira,dédirons,dédirez,dédiront,dédirais,dédirais,dédirait,dédirions,dédiriez,dédiraient,dédise,dédises,dédise,dédisions,dédisiez,dédisent,dédisse,dédisses,dédît,dédissions,dédissiez,dédissent,N/A,dédis,N/A,dédisons,dédisez,N/A,ai dédit,as dédit,a dédit,avons dédit,avez dédit,ont dédit,avais dédit,avais dédit,avait dédit,avions dédit,aviez dédit,avaient dédit,aurai dédit,auras dédit,aura dédit,aurons dédit,aurez dédit,auront dédit,aurais dédit,aurais dédit,aurait dédit,aurions dédit,auriez dédit,auraient dédit,aie dédit,aies dédit,ait dédit,ayons dédit,ayez dédit,aient dédit,eusse dédit,eusses dédit,eût dédit,eussions dédit,eussiez dédit,eussent dédit,eus dédit,eus dédit,eut dédit,eûmes dédit,eûtes dédit,eurent dédit,N/A,aie dédit,N/A,ayons dédit,ayez dédit,N/A,dédisant
défendre,to defend,TRUE,défends,défends,défend,défendons,défendez,défendent,défendais,défendais,défendait,défendions,défendiez,défendaient,défendis,défendis,défendit,défendîmes,défendîtes,défendirent,défendrai,défendras,défendra,défendrons,défendrez,défendront,défendrais,défendrais,défendrait,défendrions,défendriez,défendraient,défende,défendes,défende,défendions,défendiez,défendent,défendisse,défendisses,défendît,défendissions,défendissiez,défendissent,N/A,défends,N/A,défendons,défendez,N/A,ai défendu,as défendu,a défendu,avons défendu,avez défendu,ont défendu,avais défendu,avais défendu,avait défendu,avions défendu,aviez défendu,avaient défendu,aurai défendu,auras défendu,aura défendu,aurons défendu,aurez défendu,auront défendu,aurais défendu,aurais défendu,aurait défendu,aurions défendu,auriez défendu,auraient défendu,aie défendu,aies défendu,ait défendu,ayons défendu,ayez défendu,aient défendu,eusse défendu,eusses défendu,eût défendu,eussions défendu,eussiez défendu,eussent défendu,eus défendu,eus défendu,eut défendu,eûmes défendu,eûtes défendu,eurent défendu,N/A,aie défendu,N/A,ayons défendu,ayez défendu,N/A,défendant
démolir,to demolish,FALSE,démolis,démolis,démolit,démolissons,démolissez,démolissent,démolissais,démolissais,démolissait,démolissions,démolissiez,démolissaient,démolis,démolis,démolit,démolîmes,démolîtes,démolirent,démolirai,démoliras,démolira,démolirons,démolirez,démoliront,démolirais,démolirais,démolirait,démolirions,démoliriez,démoliraient,démolisse,démolisses,démolisse,démolissions,démolissiez,démolissent,démolisse,démolisses,démolît,démolissions,démolissiez,démolissent,N/A,démolis,N/A,démolissons,démolissez,N/A,ai démoli,as démoli,a démoli,avons démoli,avez démoli,ont démoli,avais démoli,avais démoli,avait démoli,avions démoli,aviez démoli,avaient démoli,aurai démoli,auras démoli,aura démoli,aurons démoli,aurez démoli,auront démoli,aurais démoli,aurais démoli,aurait démoli,aurions démoli,auriez démoli,auraient démoli,aie démoli,aies démoli,ait démoli,ayons démoli,ayez démoli,aient démoli,eusse démoli,eusses démoli,eût démoli,eussions démoli,eussiez démoli,eussent démoli,eus démoli,eus démoli,eut démoli,eûmes démoli,eûtes démoli,eurent démoli,N/A,aie démoli,N/A,ayons démoli,ayez démoli,N/A,démolissant
demeurer,to live/stay,FALSE,demeure,demeures,demeure,demeurons,demeurez,demeurent,demeurais,demeurais,demeurait,demeurions,demeuriez,demeuraient,demeurai,demeuras,demeura,demeurâmes,demeurâtes,demeurèrent,demeurerai,demeureras,demeurera,demeurerons,demeurerez,demeureront,demeurerais,demeurerais,demeurerait,demeurerions,demeureriez,demeureraient,demeure,demeures,demeure,demeurions,demeuriez,demeurent,demeurasse,demeurasses,demeurât,demeurassions,demeurassiez,demeurassent,N/A,demeure,N/A,demeurons,demeurez,N/A,ai demeuré,as demeuré,a demeuré,avons demeuré,avez demeuré,ont demeuré,avais demeuré,avais demeuré,avait demeuré,avions demeuré,aviez demeuré,avaient demeuré,aurai demeuré,auras demeuré,aura demeuré,aurons demeuré,aurez demeuré,auront demeuré,aurais demeuré,aurais demeuré,aurait demeuré,aurions demeuré,auriez demeuré,auraient demeuré,aie demeuré,aies demeuré,ait demeuré,ayons demeuré,ayez demeuré,aient demeuré,eusse demeuré,eusses demeuré,eût demeuré,eussions demeuré,eussiez demeuré,eussent demeuré,eus demeuré,eus demeuré,eut demeuré,eûmes demeuré,eûtes demeuré,eurent demeuré,N/A,aie demeuré,N/A,ayons demeuré,ayez demeuré,N/A,demeurant
déjeuner,to have lunch,FALSE,déjeune,déjeunes,déjeune,déjeunons,déjeunez,déjeunent,déjeunais,déjeunais,déjeunait,déjeunions,déjeuniez,déjeunaient,déjeunai,déjeunas,déjeuna,déjeunâmes,déjeunâtes,déjeunèrent,déjeunerai,déjeuneras,déjeunera,déjeunerons,déjeunerez,déjeuneront,déjeunerais,déjeunerais,déjeunerait,déjeunerions,déjeuneriez,déjeuneraient,déjeune,déjeunes,déjeune,déjeunions,déjeuniez,déjeunent,déjeunasse,déjeunasses,déjeunât,déjeunassions,déjeunassiez,déjeunassent,N/A,déjeune,N/A,déjeunons,déjeunez,N/A,ai déjeuné,as déjeuné,a déjeuné,avons déjeuné,avez déjeuné,ont déjeuné,avais déjeuné,avais déjeuné,avait déjeuné,avions déjeuné,aviez déjeuné,avaient déjeuné,aurai déjeuné,auras déjeuné,aura déjeuné,aurons déjeuné,aurez déjeuné,auront déjeuné,aurais déjeuné,aurais déjeuné,aurait déjeuné,aurions déjeuné,auriez déjeuné,auraient déjeuné,aie déjeuné,aies déjeuné,ait déjeuné,ayons déjeuné,ayez déjeuné,aient déjeuné,eusse déjeuné,eusses déjeuné,eût déjeuné,eussions déjeuné,eussiez déjeuné,eussent déjeuné,eus déjeuné,eus déjeuné,eut déjeuné,eûmes déjeuné,eûtes déjeuné,eurent déjeuné,N/A,aie déjeuné,N/A,ayons déjeuné,ayez déjeuné,N/A,déjeunant
décrire,to describe,TRUE,décris,décris,décrit,décrivons,décrivez,décrivent,décrivais,décrivais,décrivait,décrivions,décriviez,décrivaient,décrivis,décrivis,décrivit,décrivîmes,décrivîtes,décrivirent,décrirai,décriras,décrira,décrirons,décrirez,décriront,décrirais,décrirais,décrirait,décririons,décririez,décriraient,décrive,décrives,décrive,décrivions,décriviez,décrivent,décrivisse,décrivisses,décrivît,décrivissions,décrivissiez,décrivissent,N/A,décris,N/A,décrivons,décrivez,N/A,ai décrit,as décrit,a décrit,avons décrit,avez décrit,ont décrit,avais décrit,avais décrit,avait décrit,avions décrit,aviez décrit,avaient décrit,aurai décrit,auras décrit,aura décrit,aurons décrit,aurez décrit,auront décrit,aurais décrit,aurais décrit,aurait décrit,aurions décrit,auriez décrit,auraient décrit,aie décrit,aies décrit,ait décrit,ayons décrit,ayez décrit,aient décrit,eusse décrit,eusses décrit,eût décrit,eussions décrit,eussiez décrit,eussent décrit,eus décrit,eus décrit,eut décrit,eûmes décrit,eûtes décrit,eurent décrit,N/A,aie décrit,N/A,ayons décrit,ayez décrit,N/A,décrivant
défricher,to lay groundwork,FALSE,défriche,défriches,défriche,défrichons,défrichez,défrichent,défrichais,défrichais,défrichait,défrichions,défrichiez,défrichaient,défrichai,défrichas,défricha,défrichâmes,défrichâtes,défrichèrent,défricherai,défricheras,défrichera,défricherons,défricherez,défricheront,défricherais,défricherais,défricherait,défricherions,défricheriez,défricheraient,défriche,défriches,défriche,défrichions,défrichiez,défrichent,défrichasse,défrichasses,défrichât,défrichassions,défrichassiez,défrichassent,N/A,défriche,N/A,défrichons,défrichez,N/A,ai défriché,as défriché,a défriché,avons défriché,avez défriché,ont défriché,avais défriché,avais défriché,avait défriché,avions défriché,aviez défriché,avaient défriché,aurai défriché,auras défriché,aura défriché,aurons défriché,aurez défriché,auront défriché,aurais défriché,aurais défriché,aurait défriché,aurions défriché,auriez défriché,auraient défriché,aie défriché,aies défriché,ait défriché,ayons défriché,ayez défriché,aient défriché,eusse défriché,eusses défriché,eût défriché,eussions défriché,eussiez défriché,eussent défriché,eus défriché,eus défriché,eut défriché,eûmes défriché,eûtes défriché,eurent défriché,N/A,aie défriché,N/A,ayons défriché,ayez défriché,N/A,défrichant
déménager,to move,FALSE,déménage,déménages,déménage,déménageons,déménagez,déménagent,déménageais,déménageais,déménageait,déménagions,déménagiez,déménageaient,déménageai,déménageas,déménagea,déménageâmes,déménageâtes,déménagèrent,déménagerai,déménageras,déménagera,déménagerons,déménagerez,déménageront,déménagerais,déménagerais,déménagerait,déménagerions,déménageriez,déménageraient,déménage,déménages,déménage,déménagions,déménagiez,déménagent,déménageasse,déménageasses,déménageât,déménageassions,déménageassiez,déménageassent,N/A,déménage,N/A,déménageons,déménagez,N/A,ai déménagé,as déménagé,a déménagé,avons déménagé,avez déménagé,ont déménagé,avais déménagé,avais déménagé,avait déménagé,avions déménagé,aviez déménagé,avaient déménagé,aurai déménagé,auras déménagé,aura déménagé,aurons déménagé,aurez déménagé,auront déménagé,aurais déménagé,aurais déménagé,aurait déménagé,aurions déménagé,auriez déménagé,auraient déménagé,aie déménagé,aies déménagé,ait déménagé,ayons déménagé,ayez déménagé,aient déménagé,eusse déménagé,eusses déménagé,eût déménagé,eussions déménagé,eussiez déménagé,eussent déménagé,eus déménagé,eus déménagé,eut déménagé,eûmes déménagé,eûtes déménagé,eurent déménagé,N/A,aie déménagé,N/A,ayons déménagé,ayez déménagé,N/A,déménageant
demander,to ask for,FALSE,demande,demandes,demande,demandons,demandez,demandent,demandais,demandais,demandait,demandions,demandiez,demandaient,demandai,demandas,demanda,demandâmes,demandâtes,demandèrent,demanderai,demanderas,demandera,demanderons,demanderez,demanderont,demanderais,demanderais,demanderait,demanderions,demanderiez,demanderaient,demande,demandes,demande,demandions,demandiez,demandent,demandasse,demandasses,demandât,demandassions,demandassiez,demandassent,N/A,demande,N/A,demandons,demandez,N/A,ai demandé,as demandé,a demandé,avons demandé,avez demandé,ont demandé,avais demandé,avais demandé,avait demandé,avions demandé,aviez demandé,avaient demandé,aurai demandé,auras demandé,aura demandé,aurons demandé,aurez demandé,auront demandé,aurais demandé,aurais demandé,aurait demandé,aurions demandé,auriez demandé,auraient demandé,aie demandé,aies demandé,ait demandé,ayons demandé,ayez demandé,aient demandé,eusse demandé,eusses demandé,eût demandé,eussions demandé,eussiez demandé,eussent demandé,eus demandé,eus demandé,eut demandé,eûmes demandé,eûtes demandé,eurent demandé,N/A,aie demandé,N/A,ayons demandé,ayez demandé,N/A,demandant
déduire,to deduce,TRUE,déduis,déduis,déduit,déduisons,déduisez,déduisent,déduisais,déduisais,déduisait,déduisions,déduisiez,déduisaient,déduisis,déduisis,déduisit,déduisîmes,déduisîtes,déduisirent,déduirai,déduiras,déduira,déduirons,déduirez,déduiront,déduirais,déduirais,déduirait,déduirions,déduiriez,déduiraient,déduise,déduises,déduise,déduisions,déduisiez,déduisent,déduisisse,déduisisses,déduisît,déduisissions,déduisissiez,déduisissent,N/A,déduis,N/A,déduisons,déduisez,N/A,ai déduit,as déduit,a déduit,avons déduit,avez déduit,ont déduit,avais déduit,avais déduit,avait déduit,avions déduit,aviez déduit,avaient déduit,aurai déduit,auras déduit,aura déduit,aurons déduit,aurez déduit,auront déduit,aurais déduit,aurais déduit,aurait déduit,aurions déduit,auriez déduit,auraient déduit,aie déduit,aies déduit,ait déduit,ayons déduit,ayez déduit,aient déduit,eusse déduit,eusses déduit,eût déduit,eussions déduit,eussiez déduit,eussent déduit,eus déduit,eus déduit,eut déduit,eûmes déduit,eûtes déduit,eurent déduit,N/A,aie déduit,N/A,ayons déduit,ayez déduit,N/A,déduisant
défaire,to undo,TRUE,défais,défais,défait,défaisons,défaites,défont,défaisais,défaisais,défaisait,défaisions,défaisiez,défaisaient,défis,défis,défit,défîmes,défîtes,défirent,déferai,déferas,défera,déferons,déferez,déferont,déferais,déferais,déferait,déferions,déferiez,déferaient,défasse,défasses,défasse,défassions,défassiez,défassent,défisse,défisses,défît,défissions,défissiez,défissent,N/A,défais,N/A,défaisons,défaites,N/A,ai défait,as défait,a défait,avons défait,avez défait,ont défait,avais défait,avais défait,avait défait,avions défait,aviez défait,avaient défait,aurai défait,auras défait,aura défait,aurons défait,aurez défait,auront défait,aurais défait,aurais défait,aurait défait,aurions défait,auriez défait,auraient défait,aie défait,aies défait,ait défait,ayons défait,ayez défait,aient défait,eusse défait,eusses défait,eût défait,eussions défait,eussiez défait,eussent défait,eus défait,eus défait,eut défait,eûmes défait,eûtes défait,eurent défait,N/A,aie défait,N/A,ayons défait,ayez défait,N/A,défaisant
